1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1
2,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
3,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1
4,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1
5,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1
6,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0
7,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
8,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
9,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
10,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0
11,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0
12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0
13,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1
14,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1
15,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0
16,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1
17,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0
18,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0
19,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1
20,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1
21,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0
22,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1
23,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1
24,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0
25,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0
